title,function,industries,cluster
global vertical head of fmcg,sales and business development,"transportation, logistics, supply chain and storage",1
sales accounts manager - plastics,sales and business development,plastics manufacturing,1
global business development director,business development and sales,renewable energy semiconductor manufacturing,1
digital project manager,project management and information technology,automotive,1
business development manager (localization industry),business development and sales,"advertising services, staffing and recruiting, and manufacturing",1
senior frontend engineer,engineering and information technology,"transportation, logistics, supply chain and storage",1
sales assistant – uniqlo stroget,sales and business development,retail,1
sales manager in denmark,sales and business development,"technology, information and internet",1
business development manager - denmark,business development and sales,software development,1
advertising product specialist,marketing and sales,software development,1
market development manager (mdm) - scandinavia,sales and business development,"appliances, electrical, and electronics manufacturing",1
regional application manager - bakery and lipid,information technology,food and beverage manufacturing,1
business onboarding specialist,human resources,financial services,1
key account manager,sales and business development,renewable energy semiconductor manufacturing,1
e-commerce assistant,,,1
senior customer success manager,other,software development,1
service supervisor,other,machinery manufacturing,1
commercial director,business development and sales,medical equipment manufacturing,1
customer success manager,other,software development,1
"business development manager, fintech",business development and sales,"transportation, logistics, supply chain and storage",1
key account manager to global accounts,sales and business development,"appliances, electrical, and electronics manufacturing",1
area sales manager,sales and business development,maritime transportation,1
field clinical specialist - electrophysiology - denmark,management and manufacturing,medical equipment manufacturing,1
head of product marketing,product management and marketing,staffing and recruiting,1
key account manager,sales and business development,business consulting and services,1
senior enterprise customer success manager (m/f/d),other,software development,1
sales coordinator,sales and business development,aviation and aerospace component manufacturing,1
technical sales manager,sales and business development,"technology, information and internet",1
junior service engineer,engineering and information technology,aviation and aerospace component manufacturing,1
area manager multi label,sales and business development,retail apparel and fashion,1
"sales development representative, copenhagen (maternity cover)",sales and business development,staffing and recruiting,1
product manager - pioneering green energy systems and cutting-edge digital products,product management and marketing,telecommunications,1
account manager-  electronic components,sales and business development,semiconductor manufacturing,1
head of revenue performance - northern europe,accounting/auditing and finance,travel arrangements,1
business development manager,business development and sales,"advertising services, staffing and recruiting, and manufacturing",1
business development manager,business development and sales,"advertising services, staffing and recruiting, and manufacturing",1
account manager,sales and business development,"transportation, logistics, supply chain and storage",1
partner success & sales specialist,sales and business development,photography,1
distributor business manager,sales and business development,oil and gas,1
sales assistant,sales and business development,retail apparel and fashion,1
ryanair cabin crew - copenhagen,management and manufacturing,"technology, information and internet",1
customer success manager based in copenhagen,other,advertising services,1
"sales account manager - aalborg, denmark",sales,wireless services,1
territory sales manager (f/m/d) surgical technologies – denmark (jütland),"sales, business development, and marketing","appliances, electrical, and electronics manufacturing, medical equipment manufacturing, and industrial machinery manufacturing",1
sales executive - connected vehicle solutions,sales and business development,staffing and recruiting,1
sales development representative,sales and business development,software development,1
(remote + dansk) strategi møder eksekvering: sælger,other,staffing and recruiting,1
"technical support specialist, emea","project management, customer service, and administrative",software development,1
global shipowner sales manager,sales and business development,industrial machinery manufacturing,1
partnership sales manager,sales and business development,real estate,1
"sr field service engineer, ioms (emea)","training, consulting, and customer service",biotechnology research and pharmaceutical manufacturing,1
senior territory manager - denmark,sales,it services and it consulting,1
senior account manager (smart energy & thermal solutions),management and manufacturing,"appliances, electrical, and electronics manufacturing",1
sales development representative,sales and business development,information services,1
country manager,sales and business development,it services and it consulting,1
senior product manager,product management and marketing,"technology, information and internet",1
assistant general manager,management and manufacturing,hospitals and health care,1
business development representative,sales,"technology, information and internet",1
"director, sales operations",sales,software development,1
business development manager,sales,"appliances, electrical, and electronics manufacturing, industrial machinery manufacturing, and machinery manufacturing",1
business development manager,project management and other,"software development, technology, information and internet, and manufacturing",1
product manager,product management and marketing,staffing and recruiting,1
business development manager - emea,business development and sales,financial services,1
regional sales manager,sales and business development,automation machinery manufacturing and industrial machinery manufacturing,1
da ceo/co-owner,business development and sales,it services and it consulting,1
bus business director ��� nordics,"management, manufacturing, and business development",motor vehicle manufacturing,1
country manager,sales and business development,online and mail order retail,1
channel sales manager denmark,sales and business development,human resources services,1
corporate recruiter - copenhagen,human resources,automotive,1
b2b business development manager,business development and consulting,business consulting and services,1
lead generation officer,marketing and sales,financial services,1
"business development manager, defence, lystrup",sales and engineering,defense and space manufacturing,1
business development representative - part-time,sales,"technology, information and internet",1
sales director,sales and business development,renewable energy semiconductor manufacturing and software development,1
crm consultant,"consulting, information technology, and sales","appliances, electrical, and electronics manufacturing",1
specialist customer relations -norway (m/f/d),other,consumer goods,1
account executive,sales and business development,software development,1
"travel consultant, sales",management and manufacturing,travel arrangements,1
part-time sales coordinator (weekend and afternoon / evening shifts),sales and business development,education management,1
global head of omnichannel transportation growth and strategy,marketing and sales,staffing and recruiting,1
market manager,"sales, business development, and marketing",chemical manufacturing,1
sales consultant (spanish speaking) - full-time position,sales and business development,staffing and recruiting,1
store manager,sales and business development,retail,1
sales manager,sales,"technology, information and internet",1
senior product manager,product management and marketing,software development,1
head of sales and kam - denmark (m/f/d),sales and business development,consumer goods,1
head of sales in the nordic region,sales and business development,"appliances, electrical, and electronics manufacturing",1
🎯 business development intern,business development and sales,staffing and recruiting,1
head of global incident management,information technology,staffing and recruiting,1
"sales responsible, dach",sales and customer service,retail,1
business development representative,sales and business development,staffing and recruiting,1
head of global incident management,information technology,"appliances, electrical, and electronics manufacturing",1
cbo sales responsible,sales and customer service,retail,1
business development manager - paraffin applications,business development and sales,food production,1
product specialist,sales and business development,software development,1
"solutions design engineer, projects",engineering and information technology,"transportation, logistics, supply chain and storage",1
customer experience manager with focus on customer surveys and feedback analyses,other,"appliances, electrical, and electronics manufacturing",1
global bakery leader,management and manufacturing,food production,1
"solutions design manager, projects",project management and information technology,"transportation, logistics, supply chain and storage",1
business development manager/field sales (se),business development and sales,software development,1
customer success engineer associate,,,1
"global portfolio manager, bakery",finance and sales,food production,1
kamstrup is on behalf of thvilum looking for a new ceo – odder,other,"appliances, electrical, and electronics manufacturing",1
therapeutic strategy vice president,business development and sales,pharmaceutical manufacturing,1
assistant store manager,sales and business development,retail,1
territory sales manager (f/m/d) surgical technologies – denmark (jütland),"sales, business development, and marketing","appliances, electrical, and electronics manufacturing, medical equipment manufacturing, and industrial machinery manufacturing",1
commercial manager for powerbi solutions,sales and business development,staffing and recruiting,1
🚀 customer success intern,other,staffing and recruiting,1
head of commercial,"management, sales, and business development",food and beverage services,1
"specialist, in-country logistics & home delivery denmark",management and manufacturing,automotive,1
commercial development lead (dk),sales,"technology, information and internet",1
client director denmark,other,"technology, information and internet",1
key account manager,sales,personal care product manufacturing and manufacturing,1
fashion advisor,"design, art/creative, and information technology",retail and retail luxury goods and jewelry,1
customer success manager,other,information services,1
head of global sales,business development and sales,"technology, information and internet",1
"business development representative (dk, no, se, nl)",sales and business development,"technology, information and internet",1
commercial sales director,sales,"technology, information and internet",1
sales advisor 8-20 h/week,sales,retail,1
head of technology - renewables,information technology,industrial machinery manufacturing,1
customer success manager,customer service,software development and e-learning providers,1
"sales account manager, denmark",sales,"technology, information and internet",1
client specialist ( part time position),customer service,"technology, information and internet",1
"client director, global",sales and business development,"technology, information and internet",1
head of growth,marketing and sales,it services and it consulting,1
"cabin crew - billund, denmark",other,"technology, information and internet",1
"cabin crew - copenhagen, denmark",other,"technology, information and internet",1
business development lead - germany,business development,"technology, information and internet",1
project manager,project management and information technology,software development,1
customer success associate,customer service,"technology, information and internet",1
country manager denmark,sales and business development,"technology, information and internet",1
store manager full-time,sales,retail,1
vice president green transition advisory (55957),other,staffing and recruiting,2
senior lca specialist,"project management, consulting, and engineering",civil engineering and business consulting and services,2
vp european infrastructure advisory (55956),information technology,staffing and recruiting,2
head of section - areas and rights (55730),business development and sales,staffing and recruiting,2
experienced structural engineer - buildings and industry #yournextproject,"project management, consulting, and engineering",civil engineering and business consulting and services,2
certified structural engineer - buildings and industry #yournextproject,"project management, consulting, and engineering",civil engineering and business consulting and services,2
vice president - european infrastructure advisory,"management, consulting, and engineering",civil engineering and business consulting and services,2
project manager - drainage and climate adaption,"project management, consulting, and engineering",civil engineering and business consulting and services,2
vice president green transition advisory,"project management, information technology, and consulting",civil engineering and business consulting and services,2
anthropologist (56002),"marketing, public relations, and writing/editing",staffing and recruiting,2
vice president - european infrastructure advisory (55956),information technology,staffing and recruiting,2
anthropologist with expertise within social sustainability,"project management, information technology, and consulting",civil engineering and business consulting and services,2
fp&a manager,"management, consulting, and engineering",civil engineering and business consulting and services,2
anthropologist with expertise within social sustainability (56002),"marketing, public relations, and writing/editing",staffing and recruiting,2
vp green transition advisory (55957),other,staffing and recruiting,2
discipline lead - structures - buildings and industry #yournextproject,"management, consulting, and engineering",civil engineering and business consulting and services,2
project manager - drainage and climate adaption (55764),project management and information technology,staffing and recruiting,2
senior lca specialist (56020),information technology,staffing and recruiting,2
vice president green transition advisory,"project management, information technology, and consulting",civil engineering and business consulting and services,2
structural engineer specialised in timber structures - buildings and industry #yournextproject (55168),engineering and information technology,staffing and recruiting,2
vice president - european infrastructure advisory,"management, consulting, and engineering",civil engineering and business consulting and services,2
sustainability project manager (56018),project management and information technology,staffing and recruiting,2
personal assistant to senior vice president - people and culture (55825),administrative,staffing and recruiting,2
head of conference production at retail insights,"marketing, public relations, and writing/editing","technology, information and internet",3
business development executive - telephone sales at hrtechx,business development and sales,"technology, information and internet",3
webinar manager at hrtechx,other,"technology, information and internet",3
cfo at setsales,finance and sales,"technology, information and internet",3
copywriting expert at retail insights,sales and business development,"technology, information and internet",3
telesales team lead at hrtechx,sales and business development,"technology, information and internet",3
cfo at insurtech insights,finance and sales,"technology, information and internet",3
copywriting manager at hrtechx,other,"technology, information and internet",3
account consultant at hrtechx,business development and sales,"technology, information and internet",3
finance manager at retail insights,finance and sales,"technology, information and internet",3
copywriting expert at setsales,other,"technology, information and internet",3
senior content manager at hrtechx,"marketing, public relations, and writing/editing","technology, information and internet",3
head of content at hrtechx,"marketing, public relations, and writing/editing","technology, information and internet",3
copywriting expert at hrtechx,other,"technology, information and internet",3
linkedin content manager at hrtechx,"marketing, public relations, and writing/editing","technology, information and internet",3
managing director at setsales,business development and sales,"technology, information and internet",3
firstmind - uk - marketing,marketing and sales,"technology, information and internet",3
content director at retail insights,"marketing, public relations, and writing/editing","technology, information and internet",3
business development manager - telephone sales at hrtechx,business development and sales,"technology, information and internet",3
content manager at retail insights,"marketing, public relations, and writing/editing","technology, information and internet",3
content manager at hrtechx,"marketing, public relations, and writing/editing","technology, information and internet",3
speaker manager at insurtech insights,"design, art/creative, and information technology","technology, information and internet",3
cfo at hrtechx,finance and sales,"technology, information and internet",3
head of conference production at hrtechx,"marketing, public relations, and writing/editing","technology, information and internet",3
head of finance at hrtechx,finance and sales,"technology, information and internet",3
cfo at retail insights,finance and sales,"technology, information and internet",3
head of finance at retail insights,finance and sales,"technology, information and internet",3
head of social media at retail insights,sales and business development,"technology, information and internet",3
managing director at retail insights,business development and sales,"technology, information and internet",3
speaker manager at setsales,"design, art/creative, and information technology","technology, information and internet",3
event sales manager/representative at hrtechx,management and manufacturing,"technology, information and internet",3
account consultant at setsales,business development and sales,"technology, information and internet",3
head of finance at insurtech insights,finance and sales,"technology, information and internet",3
finance manager at hrtechx,finance and sales,"technology, information and internet",3
head of content at private equity insights,"marketing, public relations, and writing/editing","technology, information and internet",3
account consultant at retail insights,business development and sales,"technology, information and internet",3
managing director at hrtechx,business development and sales,"technology, information and internet",3
head of content at setsales,"marketing, public relations, and writing/editing","technology, information and internet",3
content director at hrtechx,"marketing, public relations, and writing/editing","technology, information and internet",3
speaker manager at hrtechx,"design, art/creative, and information technology","technology, information and internet",3
head of finance at private equity insights,finance and sales,"technology, information and internet",3
cfo at cfo insights,finance and sales,"technology, information and internet",3
managing director at private equity insights,business development and sales,"technology, information and internet",3
it supporter,information technology,pharmaceutical manufacturing,4
project director,management and manufacturing,pharmaceutical manufacturing,4
senior scientist for cell therapy research,"research, analyst, and information technology",pharmaceutical manufacturing,4
supply chain planner,management and manufacturing,pharmaceutical manufacturing,4
life sciences - pharma & biotechnology - talent pipeline for student assistant positions,"research, analyst, and information technology",pharmaceutical manufacturing,4
calling new graduates with an interest in quality,administrative,pharmaceutical manufacturing,4
it manager,information technology,pharmaceutical manufacturing,4
statistical omics specialist,other,pharmaceutical manufacturing,4
senior project manager,project management and information technology,pharmaceutical manufacturing,4
life sciences - pharma & biotechnology talent pipeline for internships,"research, analyst, and information technology",pharmaceutical manufacturing,4
lean coordinator,management and manufacturing,pharmaceutical manufacturing,4
senior finance partner,finance and sales,pharmaceutical manufacturing,4
supply chain project manager,project management and information technology,pharmaceutical manufacturing,4
project assistant talent pipeline - greater copenhagen area,administrative,pharmaceutical manufacturing,4
drug discovery specialist,other,pharmaceutical manufacturing,4
data analyst,information technology,pharmaceutical manufacturing,4
project manager,project management and information technology,pharmaceutical manufacturing,4
global project associate director,"consulting, information technology, and sales",pharmaceutical manufacturing,4
communication professional,"marketing, public relations, and writing/editing",pharmaceutical manufacturing,4
senior statistical programmer,"research, analyst, and information technology",pharmaceutical manufacturing,4
training professional with a solution-oriented mindset,human resources,pharmaceutical manufacturing,4
supply chain strategy partner,management and manufacturing,pharmaceutical manufacturing,4
medical doctor - medical devices & digital health,health care provider,pharmaceutical manufacturing,4
newly graduated engineers for a life-changing career within digitalisation and automation,engineering and information technology,pharmaceutical manufacturing,4
personal assistant to corporate vice president,administrative,pharmaceutical manufacturing,4
product development scientist,"research, analyst, and information technology",pharmaceutical manufacturing,4
head of biostatistics department in søborg/aalborg,education and training,pharmaceutical manufacturing,4
communication manager,"marketing, public relations, and writing/editing",pharmaceutical manufacturing,4
"vice president, material manufacturing development",purchasing and supply chain,pharmaceutical manufacturing,4
strategic business partner for vice president,business development and sales,pharmaceutical manufacturing,4
department assistant,administrative,pharmaceutical manufacturing,4
"personal assistant to vice president, medical & science centre of expertise",administrative,pharmaceutical manufacturing,4
supply chain planner,management and manufacturing,pharmaceutical manufacturing,4
"novo nordisk consulting, unsolicited applications","consulting, information technology, and sales",pharmaceutical manufacturing,4
department assistant,administrative,pharmaceutical manufacturing,4
(lead) project manager for executive office,project management and information technology,pharmaceutical manufacturing,4
"vice president, global inbound warehouse operations for gmp raw materials",business development and sales,pharmaceutical manufacturing,4
communication and change management partner,"marketing, public relations, and writing/editing",pharmaceutical manufacturing,4
digitalisation manager,other,pharmaceutical manufacturing,4
"communication, marketing, training & hr - talent pipeline for student assistant positions",marketing and sales,pharmaceutical manufacturing,4
communications specialist (maternity cover),public relations,non-profit organizations,4
senior it project manager,project management and information technology,pharmaceutical manufacturing,4
it system supporter,information technology,pharmaceutical manufacturing,4
business engagement & delivery director,information technology,pharmaceutical manufacturing,4
senior finance partner for business development,finance and sales,pharmaceutical manufacturing,4
pharmaceutical logistics coordinator,management and manufacturing,pharmaceutical manufacturing,4
senior director digital transformation strategy & partnerships,marketing and sales,pharmaceutical manufacturing,4
continuous improvement expert,other,pharmaceutical manufacturing,4
procurement - sourcing professional,purchasing and supply chain,pharmaceutical manufacturing,4
in vivo senior scientist - cell therapy,"research, analyst, and information technology",pharmaceutical manufacturing,4
regulatory affairs cmc professionals,legal,pharmaceutical manufacturing,4
procurement professional for expansion projects,purchasing and supply chain,pharmaceutical manufacturing,4
newly graduated engineers for a life-changing career within digitalisation and automation,engineering and information technology,pharmaceutical manufacturing,4
global head of manufacturing maintenance and engineering,management and manufacturing,pharmaceutical manufacturing,4
talent acquisition partner r&ed,human resources,pharmaceutical manufacturing,4
investor relations coordinator,"marketing, public relations, and writing/editing",pharmaceutical manufacturing,4
qa specialist,quality assurance,pharmaceutical manufacturing,4
gmp coordinator,management and manufacturing,pharmaceutical manufacturing,4
ux/ui designer,"design, art/creative, and information technology",pharmaceutical manufacturing,4
public affairs specialist (maternity cover),public relations,non-profit organizations,4
specialist bioprocessing for cell therapy research,"research, analyst, and information technology",pharmaceutical manufacturing,4
associate process scientist,"research, analyst, and information technology",pharmaceutical manufacturing,4
it system supporter,information technology,pharmaceutical manufacturing,4
senior global product manager,product management and marketing,pharmaceutical manufacturing,4
lean partner,management and manufacturing,pharmaceutical manufacturing,4
strategic sourcing internship,purchasing and supply chain,pharmaceutical manufacturing,4
svp lean partner,other and manufacturing,pharmaceutical manufacturing,4
project manager,project management and information technology,pharmaceutical manufacturing,4
digital learning & development instructional designer,education and training,pharmaceutical manufacturing,4
associate scientist for cell therapy research,"research, analyst, and information technology",pharmaceutical manufacturing,4
volunteer team member,management and manufacturing,"technology, information and internet",5
service owner o365,business development and sales,food and beverage services,5
frontend developer,engineering and information technology,staffing and recruiting,5
business controller,accounting/auditing and finance,renewable energy semiconductor manufacturing,5
sustainability specialist,other,staffing and recruiting,5
technical project manager,project management and information technology,biotechnology,5
accenture strategy - direct dinner - aarhus,other,it services and it consulting,5
business controller | remote | hybrid,accounting/auditing and finance,staffing and recruiting,5
originator,finance and sales,utilities,5
internship in .net app development,education and training,"appliances, electrical, and electronics manufacturing",5
"junior analyst, modelling",business development and sales,renewable energy semiconductor manufacturing,5
unsolicited application - wavemaker,information technology,"advertising services, market research, and online audio and video media",5
director of machine learning,engineering and information technology,staffing and recruiting,5
fullstack developer,engineering and information technology,it services and it consulting,5
deskside support,information technology,staffing and recruiting,5
unsolicited application - sales development representative (full-time) - any language,sales and customer service,"software development, technology, information and internet, and legal services",5
open application - aalborg,information technology,staffing and recruiting,5
open application - aarhus (data & bi),information technology,staffing and recruiting,5
data warehouse specialist - aarhus,business development and sales,staffing and recruiting,5
backend developer,,,5
front-end developer (angular) internship start 1.semester 2024,engineering and information technology,staffing and recruiting,5
programme assistant (roster),"management, administrative, and general business",hospitals and health care,5
management associate at european offices,other,"technology, information and internet",5
"people (hr) specialist, social responsibility",human resources,apparel & fashion,5
unsolicited applications for student assistants,administrative,utilities,5
warehouse workers with a truck certificate to lynge!,management and manufacturing,staffing and recruiting,5
machine learning team lead,information technology,"technology, information and internet",5
compliance student assistant,finance and sales,"transportation, logistics, supply chain and storage",5
"logistics co-worker for night and morning shift,10 hours per week, aalborg",supply chain,retail,5
engineering leadership development program,engineering and information technology,"construction, civil engineering, and industrial machinery manufacturing",5
looking for a mystery shoppers,,,5
"student worker, technical support",education and training,staffing and recruiting,5
chief technology officer (cto),information technology,staffing and recruiting,5
classroom assistant,administrative,education administration programs,5
laundry attendant,other,travel arrangements,5
office coordinator (part-time - 8h/week),administrative,translation and localization,5
"senior specialist, data intelligence",information technology,advertising services,5
web developer,engineering and information technology,"mechanical or industrial engineering, environmental services, and information technology & services",5
internship: landscape architect,engineering,architecture and planning,5
"data analyst, internal - copenhagen",information technology,staffing and recruiting,5
unsolicited application - sales development representative (full-time) - any language,sales and business development,staffing and recruiting,5
professor(s) at the department of dentistry and oral health,education and training,research,5
internship at sia connect,education and training,software development,5
unsolicited application - wavemaker,information technology,advertising services,5
associate professor,education and training,computer networking products,5
hairdressers for norway,"design, art/creative, and information technology",human resources services,5
electrical engineer,engineering and information technology,staffing and recruiting,5
data science & bi developer,information technology,spectator sports,5
senior copywriter,"marketing, public relations, and writing/editing","appliances, electrical, and electronics manufacturing",5
production technician,production and engineering,oil and gas,5
automation engineer,engineering and information technology,biotechnology,5
head of it infrastructure,information technology,aviation and aerospace component manufacturing,5
executive assistant for founders,administrative,staffing and recruiting,5
co-founder,business development and sales,staffing and recruiting,5
massage therapists - 30h contract,health care provider,wellness and fitness services,5
country product manager denmark,product management and marketing,it services and it consulting,5
business development intern,business development and sales,software development,5
backend engineer,engineering and information technology,"transportation, logistics, supply chain and storage",5
technical project manager,project management and information technology,biotechnology,5
unsolicited application,information technology,"appliances, electrical, and electronics manufacturing",5
software engineer,information technology and engineering,it services and it consulting and financial services,5
trainee,other,business consulting and services,5
we are looking for talented architectural interns to join our office in aarhus from spring semester 2024.,design,architecture and planning,5
barber for naestved/silkeborg,management and manufacturing,human resources services,5
"learning specialist (mid-level, remote, contract)",human resources,"technology, information and internet",5
junior ui/ux designer,"design, art/creative, and information technology",staffing and recruiting,5
meeting & events intern,other,hospitality,5
bi consultant,information technology,"mechanical or industrial engineering, environmental services, and information technology & services",5
vp of engineering,engineering and information technology,"technology, information and internet",5
"field service technician, industrial storage - supercharging, kastrup",engineering and information technology,"renewable energy semiconductor manufacturing, motor vehicle manufacturing, and utilities",5
student assistant for accounts receivable,accounting/auditing and finance,retail,5
junior trader,"analyst, business development, and finance",oil and gas,5
senior development coach,other,business consulting and services,5
data analyst (part time),information technology,"technology, information and internet",5
freelance pattern translator - italian,"marketing, public relations, and writing/editing",manufacturing,5
"applied mathematician, scientist, or engineer (dk)",engineering,"technology, information and internet",5
event assistant (volunteer),management and manufacturing,"technology, information and internet",5
data scientist,engineering and information technology,"transportation, logistics, supply chain and storage",5
🇩🇪 sales development representative (part-time),sales and business development,"software development, technology, information and internet, and legal services",5
"internship at stark group it, viby j",education and training,wholesale building materials,5
junior revenue operations specialist (part-time),management and manufacturing,"transportation, logistics, supply chain and storage",5
communication student for radical innovation,education and training,wholesale building materials,5
product owner,business development and product management,it services and it consulting and financial services,5
senior hr business partner,human resources,"appliances, electrical, and electronics manufacturing",5
internship in hardware rf communication,education and training,"appliances, electrical, and electronics manufacturing",5
.net developers,engineering and information technology,it services and it consulting,5
unsolicited applications,information technology,"technology, information and internet",5
internship in commercial and portfolio management,finance and sales,"appliances, electrical, and electronics manufacturing",5
investment principal,education and training,"transportation, logistics, supply chain and storage",5
fellowship program - diverse specialties,other,telecommunications,5
project proposal in augmented reality (ar),other,"appliances, electrical, and electronics manufacturing",5
product manager - machine learning and ai,product management and marketing,"it services and it consulting, newspaper publishing, and online audio and video media",5
"internship in commercial product management, heat/cooling",education and training,"appliances, electrical, and electronics manufacturing",5
🇩🇪 sales development representative (part-time),sales and business development,staffing and recruiting,5
ambitious software engineering interns,information technology and engineering,it services and it consulting and financial services,5
student assistant for business hr,administrative,industrial machinery manufacturing,5
internship in hr,human resources,"appliances, electrical, and electronics manufacturing",5
hr manager,human resources,staffing and recruiting,5
french speaking customer success hero (maternity cover),other,manufacturing,5
electronics technician,engineering and information technology,computer hardware manufacturing,5
internship in global operations & engineering,engineering and information technology,"appliances, electrical, and electronics manufacturing",5
it solution consultant,engineering and information technology,retail furniture and home furnishings,5
it support technician,information technology,telecommunications,5
data warehouse engineer,information technology,staffing and recruiting,5
"unsolicited internship during your studies - food safety & quality (randers sv, dk, 8940)",education and training,food and beverage manufacturing,5
ux designer,"design, art/creative, and information technology",software development,5
operations & support specialist,management and manufacturing,staffing and recruiting,5
junior network engineer (remote internship – it),information technology,human resources services,5
frontend developer,engineering and information technology,farming,5
chief technical officer,information technology,education administration programs,5
data engineer,information technology,oil and gas,5
power platform consultant - aarhus,"consulting, information technology, and sales",staffing and recruiting,5
data scientist / machine learning engineer,engineering and information technology,health and human services,5
java backend developer in salling group,engineering and information technology,retail,5
senior specialist - quality engineering,engineering and information technology,it services and it consulting,5
ai & business analyst (remote internship),"research, analyst, and information technology",internet publishing,5
event volunteer,management and manufacturing,"technology, information and internet",5
internship in erp,education and training,"appliances, electrical, and electronics manufacturing",5
software engineer,engineering and information technology,pharmaceutical manufacturing,5
internship in cellular technology solutions,education and training,"appliances, electrical, and electronics manufacturing",5
unsolicited application,information technology,"technology, information and internet",5
talent acquisition analyst,science,research services,5
oracle lead support analyst,information technology,it services and it consulting,5
associate professor(s) at the department of dentistry and oral health,education and training,research,5
